timestamp,grid_import,grid_export,solar_production,battery_charge,battery_discharge,apartment_1,apartment_2,shared_consumption
2024-01-01 00:00:00,0.5,0.0,0.0,0.0,0.0,0.3,0.2,0.05
2024-01-01 00:15:00,0.4,0.0,0.0,0.0,0.0,0.25,0.18,0.04
2024-01-01 00:30:00,0.45,0.0,0.0,0.0,0.0,0.28,0.2,0.05
2024-01-01 00:45:00,0.42,0.0,0.0,0.0,0.0,0.26,0.19,0.04
2024-01-01 01:00:00,0.38,0.0,0.0,0.0,0.0,0.24,0.17,0.04
2024-01-01 01:15:00,0.35,0.0,0.0,0.0,0.0,0.22,0.16,0.03
2024-01-01 01:30:00,0.33,0.0,0.0,0.0,0.0,0.21,0.15,0.03
2024-01-01 01:45:00,0.32,0.0,0.0,0.0,0.0,0.2,0.14,0.03
2024-01-01 02:00:00,0.3,0.0,0.0,0.0,0.0,0.19,0.13,0.03
2024-01-01 02:15:00,0.28,0.0,0.0,0.0,0.0,0.18,0.12,0.02
2024-01-01 08:00:00,0.6,0.0,0.8,0.2,0.0,0.35,0.25,0.08
2024-01-01 08:15:00,0.55,0.0,1.0,0.25,0.0,0.38,0.28,0.09
2024-01-01 08:30:00,0.5,0.0,1.2,0.3,0.0,0.4,0.3,0.1
2024-01-01 08:45:00,0.45,0.0,1.5,0.35,0.0,0.42,0.32,0.1
2024-01-01 12:00:00,0.3,0.5,2.5,0.0,0.0,0.5,0.4,0.15
2024-01-01 12:15:00,0.25,0.8,2.8,0.0,0.0,0.52,0.42,0.16
2024-01-01 12:30:00,0.2,1.0,3.0,0.0,0.0,0.55,0.45,0.18
2024-01-01 12:45:00,0.18,1.2,3.2,0.0,0.0,0.58,0.48,0.2
2024-01-01 18:00:00,0.8,0.0,0.5,0.0,0.3,0.6,0.5,0.2
2024-01-01 18:15:00,0.85,0.0,0.3,0.0,0.35,0.65,0.55,0.22
2024-01-01 18:30:00,0.9,0.0,0.2,0.0,0.4,0.7,0.6,0.25
2024-01-01 18:45:00,0.95,0.0,0.1,0.0,0.45,0.75,0.65,0.28
2024-01-01 23:45:00,0.4,0.0,0.0,0.0,0.0,0.25,0.18,0.05
